decile,no_subs,cum_no_subs,lower_treshold,use_prop,cum_no_use,cum_use_prop,bad_prop,cum_bad_prop,lift_rate,prof_date
1,1795067,1795067,0.9947447776794434,0.31919,315708,0.3191900441920915,0.00466,0.004657812071892272,21.424222029520298,2019-03-31
2,1809692,3604759,0.9911910891532898,0.59028,834000,0.4466731685998403,0.01512,0.009578300895970676,10.418340484790875,2019-03-31
3,1831353,5436112,0.9865492582321167,0.71202,1464307,0.5320165777070024,0.02717,0.015235591422813275,6.549794965660324,2019-03-31
4,1832534,7268646,0.9803820252418518,0.78309,2165121,0.5936224656958854,0.04095,0.021543864055166242,4.631945306769157,2019-03-31
5,1854066,9122712,0.9719661474227905,0.82267,2928271,0.6400656706056498,0.05531,0.028391323716041736,3.51480617804433,2019-03-31
6,1797289,10920001,0.9603757262229919,0.83928,3694221,0.6731968687831191,0.07114,0.03550144790626249,2.8108712710389754,2019-03-31
7,1860742,12780743,0.9421349763870239,0.84355,4461971,0.6974313196839937,0.09108,0.04340811360795508,2.2988789815024866,2019-03-31
8,1811846,14592589,0.9127599000930786,0.83766,5143210,0.7132467237823192,0.12012,0.05206016988252503,1.9168204833979303,2019-03-31
9,1828934,16421523,0.8520118594169617,0.83952,5783182,0.7253197740555148,0.16737,0.06308415376044456,1.581855252888737,2019-03-31
10,1857941,18279464,0.1323409080505371,0.90178,6771411,0.7466419690304079,0.36684,0.09978802874005668,1.000019754473239,2019-03-31
1,1790321,1790321,0.9945603609085083,0.33635,333245,0.3363464506211779,0.00183,0.0018268453408883314,42.25864022099448,2019-02-28
2,1778759,3569080,0.9908072352409363,0.61213,879785,0.4670706399316636,0.00542,0.003527775993391459,21.883475635816406,2019-02-28
3,1835321,5404401,0.9856860041618347,0.73498,1566179,0.555870883751437,0.01,0.005672358309053733,13.60985956701289,2019-02-28
4,1866632,7271033,0.9786240458488464,0.80712,2349946,0.6202694459599603,0.01632,0.00840075289243568,9.189652521444057,2019-02-28
5,1795374,9066407,0.9693097472190857,0.84591,3159546,0.6657758878638588,0.02472,0.011692788779642874,6.602359920706434,2019-02-28
6,1834657,10901064,0.9556917548179626,0.85986,3998202,0.6988641845831148,0.03665,0.015947561615102256,4.8408654478495325,2019-02-28
7,1799420,12700484,0.935537576675415,0.85951,4776319,0.720812260113146,0.05374,0.02111042042913535,3.6569617483057395,2019-02-28
8,1838090,14538574,0.9021076560020447,0.85195,5493286,0.735590284821852,0.07995,0.02774127691985697,2.782856759731233,2019-02-28
9,1824482,16363056,0.8363633155822754,0.86062,6135537,0.7469492805566215,0.12516,0.03659231996384765,2.109732317499185,2019-02-28
10,1850825,18213881,0.13224416971206665,0.92513,7183981,0.7685518739117992,0.37152,0.07719901470190989,1.000012763091523,2019-02-28
1,1795491,1795491,0.994744062423706,0.42706,443916,0.42705953316638945,0.00327,0.0032737806057119437,24.051703361739644,2019-04-30
2,1813721,3609212,0.9911814332008362,0.64317,1043700,0.5292553407274586,0.00844,0.005714963773113403,13.777865114463177,2019-04-30
3,1854992,5464204,0.9864674210548401,0.72579,1737632,0.593428825711497,0.01471,0.008651620390134018,9.10118526349031,2019-04-30
4,1800532,7264736,0.9803968071937561,0.76994,2464602,0.6364686477595913,0.02208,0.011925449092750135,6.602686354836615,2019-04-30
5,1850544,9115280,0.9720056056976318,0.78551,3253654,0.6671675398113155,0.0316,0.0159776345923991,4.9281387394763865,2019-04-30
6,1824523,10939803,0.9602200984954834,0.77684,4050798,0.6862317695244029,0.04362,0.020783644270610722,3.7885559902188537,2019-04-30
7,1799956,12739759,0.9426367878913879,0.75736,4808355,0.6965386987189878,0.06014,0.026486651940190748,2.9728181643267724,2019-04-30
8,1815718,14555477,0.9135447144508362,0.73418,5503903,0.7010812687756541,0.08222,0.03321227239932988,2.370810375552283,2019-04-30
9,1849069,16404546,0.8528802990913391,0.73942,6160754,0.7049785534237396,0.12441,0.04248280451918337,1.853455789728865,2019-04-30
10,1874917,18279463,0.1323409080505371,0.86755,7159278,0.7238979892514574,0.35403,0.07874023789322823,0.9999969787590869,2019-04-30
